date,temp,apparent,wind_dir,wind_kmh,wind_color
20160121200000,22.1,24.4,1.57079632679,9,0.0
20160121193000,22.2,23.2,0.785398163397,15,0.0
20160121190000,22.7,25.4,4.31968989869,7,0.0
20160121184900,23.7,25.3,2.35619449019,13,0.0
20160121183000,23.9,25.9,2.35619449019,11,0.0
20160121180000,23.6,26.5,2.35619449019,9,0.0
20160121173000,23.5,27.3,2.74889357189,7,0.0
20160121170000,23.3,27.3,3.14159265359,6,0.0
20160121163000,21.6,23.5,0.785398163397,13,0.0
20160121160600,20.1,19.2,0.0,24,1.0
20160121160000,20.5,19.4,0.0,26,2.0
20160121154900,19.1,11.4,5.89048622548,57,4.0
20160121154800,19.4,11.9,5.89048622548,57,4.0
20160121154000,20.9,17.4,0.0,33,3.0
20160121153900,23.8,21.6,0.0,28,2.0
20160121153800,25.2,23.3,0.0,24,1.0
20160121153500,27.6,25.8,0.0,20,0.0
20160121153000,27.9,26.1,0.0,20,0.0
20160121150000,32.5,30.6,4.71238898038,19,0.0
20160121143000,32.2,29.7,4.71238898038,22,1.0
20160121140000,31.9,29.7,4.71238898038,20,0.0
20160121133000,33.2,28.8,5.49778714378,32,3.0
20160121130000,32.6,28.8,5.49778714378,28,2.0
20160121123000,33.5,30.4,5.49778714378,24,1.0
20160121120000,32.3,30.6,5.49778714378,19,0.0
20160121113000,31.8,30.3,5.49778714378,17,0.0
20160121110000,30.2,29.2,5.49778714378,15,0.0
20160121103000,29.0,27.1,5.10508806208,19,0.0
20160121100000,28.6,27.2,5.10508806208,15,0.0
20160121093000,26.7,26.6,4.71238898038,7,0.0
20160121090000,24.2,24.4,0.392699081699,4,0.0
20160121083000,21.7,22.6,0.0,0,0.0
20160121080000,19.3,20.1,0.0,0,0.0
20160121073000,18.9,19.3,4.71238898038,2,0.0
20160121070000,18.2,18.0,5.89048622548,6,0.0
20160121063000,16.6,16.2,1.96349540849,7,0.0
20160121060000,15.6,16.0,1.96349540849,2,0.0
20160121053000,15.8,16.1,0.0,2,0.0
20160121050000,16.0,15.5,1.96349540849,6,0.0
20160121043000,15.6,15.0,0.0,6,0.0
20160121040000,17.3,15.9,1.57079632679,11,0.0
20160121033000,17.4,16.5,1.57079632679,9,0.0
20160121030000,17.1,16.8,2.35619449019,6,0.0
20160121023000,17.4,16.5,2.35619449019,9,0.0
20160121020000,16.3,15.1,1.96349540849,9,0.0
20160121013000,18.4,17.8,1.1780972451,7,0.0
20160121010000,18.2,17.9,2.35619449019,4,0.0
20160121003000,20.0,19.6,3.53429173529,6,0.0
